case_name,max_deflection,max_deflection_x,max_deflection_node,max_shear,max_shear_x,max_moment,max_moment_x,max_von_mises,max_vm_x,max_vm_y,max_vm_z,sf,mos,peak_ply
Nominal,4.184100418419353,1000.0,10,4500.00000001071,0.0,3500000.000007113,1000.0,42.000000000085365,1000.0,-50.0,-25.0,143.4291383214124,142.4291383214124,Aluminum 7075-T6 (AMS-QQ-A-250/12)
Heavy_Point,6.9735006973656875,1000.0,10,-7000.000000017928,2000.0,6000000.000011762,1000.0,72.00000000014116,1000.0,-50.0,-25.0,48.80574845659876,47.80574845659876,Aluminum 7075-T6 (AMS-QQ-A-250/12)
Heavy_UDL,9.762900976312146,1000.0,10,12500.000000025611,0.0,7500000.000015895,1000.0,90.00000000019077,1000.0,-50.0,-25.0,31.23567901221326,30.23567901221326,Aluminum 7075-T6 (AMS-QQ-A-250/12)
Extreme,16.736401673677587,1000.0,10,19500.00000004284,0.0,13500000.000026703,1000.0,162.00000000032045,1000.0,-50.0,-25.0,9.64064167043892,8.64064167043892,Aluminum 7075-T6 (AMS-QQ-A-250/12)
