case_name,max_deflection,max_deflection_x,max_deflection_node,max_shear,max_shear_x,max_moment,max_moment_x,max_von_mises,max_vm_x,max_vm_y,max_vm_z,sf,mos,peak_ply
Case_1,0.47499999999578774,1000.0,20,1499.99999998599,0.0,-1249999.9999865445,0.0,14.999999999838542,0.0,50.0,-25.0,277.7777777837578,276.7777777837578,Steel ASTM A36
Case_2,0.9499999999915755,1000.0,20,2999.99999997198,0.0,-2499999.999973089,0.0,29.999999999677083,0.0,50.0,-25.0,69.44444444593945,68.44444444593945,Steel ASTM A36
Case_3,2.3749999999789297,1000.0,20,7499.999999929892,0.0,-6249999.999932692,0.0,74.99999999919233,0.0,-50.0,-25.0,11.111111111350425,10.111111111350425,Steel ASTM A36
